raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,3D System Company,,,,,,,,3D System Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
2,3Pillars for Communications and Information Technology,,,,,,,,3Pillars for Communications and Information Technology,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
3,4Rounds,,,,,,,,4Rounds,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
4,4th Layer,,,,,,,,4th Layer,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
5,7amdaan.io,,,,,,,,7amdaan.io,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
6,7Bots.ai,,,,,,,,7Bots.ai,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
7,8Bit Information Technology,,,,,,,,8Bit Information Technology,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
8,AAEON Technology Inc.,,,,,,,,AAEON Technology Inc.,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
9,Ability Center,,,,,,,,Ability Center,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
10,Abunayyan Holding,,,,,,,,Abunayyan Holding,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
11,Abwab.AI,,,,,,,,Abwab.AI,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
12,Accenture Saudi Arabia Limited,,,,,,,,Accenture Saudi Arabia Limited,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
13,Accord CIP,,,,,,,,Accord CIP,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
14,ACES,,,,,,,,ACES,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
15,Adadk,,,,,,,,Adadk,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
16,Adalah Chain,,,,,,,,Adalah Chain,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
17,Adam,,,,,,,,Adam,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
18,Adel,,,,,,,,Adel,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
19,Administration of Technology Park of Software and IT LLC,,,,,,,,Administration of Technology Park of Software and IT LLC,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
20,Administrative Expertise Company,,,,,,,,Administrative Expertise Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
21,Adobe Regional Headquarters,,,,,,,,Adobe Regional Headquarters,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
22,Advanced Centennial Information Technology (ACIT),,,,,,,,Advanced Centennial Information Technology (ACIT),"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
23,Advanced Intelligence Computing Company,,,,,,,,Advanced Intelligence Computing Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
24,Advanced Sariat Company for Property Management,,,,,,,,Advanced Sariat Company for Property Management,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
25,Advanced Semiconductor Chips,,,,,,,,Advanced Semiconductor Chips,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
