raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,Al Aalami Factory For Furniture & Wooden Industries,2D140,Hall 2,"Kitchen and Bathroom; Windows, Doors and Facades / Building Envelope; Building Interiors and Finishes",,Saudi Arabia,aff-sa.com,https://aff-sa.com,Al Aalami Factory For Furniture & Wooden Industries,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyODI%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
2,Al Taiseer Group Talco Industrial Company,3D61,Hall 3,"Paint and Coating; Windows, Doors and Facades / Building Envelope; Metal, Steel and Aluminum",,Saudi Arabia,altaiseer.com,https://altaiseer.com,Al Taiseer Group Talco Industrial Company,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyNjA%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
3,Alumil Middle East DMCC,3A41,Hall 3,,,United Arab Emirates,alumil.com,https://www.alumil.com,Alumil Middle East DMCC,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIzMDU%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
4,Coastal Qatar,1C29,Hall 1,,,Qatar,,,Coastal Qatar,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDQzMzU%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
5,Construction Products Holding Company,2D161,Hall 2,"Windows, Doors and Facades / Building Envelope; Metal, Steel and Aluminum; Marble and Stone; Glass Production, Technology and Machinery; Building Interiors and Finishes",,Saudi Arabia,cpcholding.com,https://www.cpcholding.com,Construction Products Holding Company,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyOTc%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
6,Hail House For Building Material,2D121,Hall 2,,,Saudi Arabia,,,Hail House For Building Material,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyODE%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
7,HEMPEL PAINTS (SAUDI ARABIA) LTD,2 E171,Hall 2,,,Saudi Arabia,,,HEMPEL PAINTS (SAUDI ARABIA) LTD,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDQ5ODM%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
8,Italian Appliances Trading Company,2E149,Hall 2,,,Saudi Arabia,,,Italian Appliances Trading Company,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyODA%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
9,Middle East Paints Factory Limited Company,2C140,Hall 2,,,Saudi Arabia,balahmargroup.com,https://www.balahmargroup.com,Middle East Paints Factory Limited Company,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDM3Mzc%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
10,Obeikan Technical Fabrics Co Ltd,4D110,Hall 4,,,Saudi Arabia,,,Obeikan Technical Fabrics Co Ltd,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/ExbDetails/NDIyNzc%3D,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/
